"License Number","License Type","Name of Program","AddressLine1","AddressLine2","AddressLine3","City","State","Zip","County","Phone","License Status","License Holder","Capacity","Type Of License","Restrictions","Services","Licensing Authority","Initial Effective Date","Current Effective Date","Expiration Date","License Holder Lives Onsite","EmailAddress",
"1110956","Child Care Center","Room For Growing, Inc.","268 12th St SW","","","Forest Lake","MN","55025-1482","Washington","(651) 464-1601","Active","Room For Growing, Inc.","112","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","10/15/2022","01/01/2026","12/31/2026","   ","",
"1110957","Child Care Center","Room For Growing, Inc.","38862 14th Ave","","","North Branch","MN","55056-5459","Chisago","(651) 277-2441","Active","Room For Growing, Inc.","78 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","06/01/2022","01/01/2026","12/31/2026","   ","",
"1110958","Child Care Center","Room For Growing, Inc.","4700 Scandia Trl N","","","Forest Lake","MN","55025-8108","Washington","(651) 464-2330","Active","Room For Growing, Inc.","116","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/15/2022","01/01/2026","12/31/2026","   ","",
"802042","Child Care Center","Roosevelt A and B","345 30th Ave N","","","Sartell","MN","56303     ","Stearns","(320) 252-8735","Active","Reach-Up Incorporated","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","11/01/1975","01/01/2026","12/31/2026","   ","",
"805514","Child Care Center","Roosevelt Head Start","1575 Ames Ave","","","Saint Paul","MN","55106-2901","Ramsey","(651) 774-6311","Active","Community Action Partnership of Ramsey and Washington Counties","80 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/1999","07/21/2026","12/31/2026","   ","",
"2000078","Child Care Center","Roots and Wings Early Learning Center","4440 E US Highway 2","","","Grand Rapids","MN","55744     ","Itasca","(218) 259-4756","Active","Roots and Wings Early Learning Center LLC","125","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/26/2026","03/26/2026","12/31/2026","   ","",
"1113587","Child Care Center","Roots and Wings Forest School","35320 550th Ave","","","New York Mills","MN","56567-8933","Otter Tail","(218) 325-0234","Active","Roots and Wings Forest School","34 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/31/2023","01/01/2026","12/31/2026","   ","",
"806182","Child Care Center","Rosebuds Early Learning Center","6875 Jamaica Ave S","","","Cottage Grove","MN","55016-5761","Washington","(651) 459-4526","Active","Rose of Sharon Lutheran Church","84 ","Ages Served: Infant;Toddler;Preschool","Maximum number of infants in the program is 13.
Maximum number of toddlers in the program is 22.","Services: Day Program","Minnesota Department of Human Services","08/11/1993","01/01/2026","12/31/2026","   ","",
"830818","Child Care Center","Rosemount Headstart","2496 145th St W","","","Rosemount","MN","55068-4929","Dakota","(651) 322-3529","Active","Scott-Carver-Dakota CAP Agency, Inc.","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/08/1998","01/01/2026","12/31/2026","   ","",
"1110078","Child Care Center","Rush Creek KinderCare","6999 Alvarado Ln N","","","Maple Grove","MN","55311-2273","Hennepin","(952) 428-8525","Active","KinderCare Education LLC","136","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/02/2021","01/01/2026","12/31/2026","   ","",
"800377","Child Care Center","Ruth O. Benner Head Start Center","586 Fuller Ave","","","Saint Paul","MN","55103-2245","Ramsey","(651) 224-4363","Active","Community Action Partnership of Ramsey and Washington Counties","118","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","04/01/1979","01/01/2026","12/31/2026","   ","",
"1055396","Child Care Center","Sacred Heart Area Preschool","324 4th St NE","","","Staples","MN","56479     ","Todd","","Active","The Church of the Sacred Heart Parish, Minnesota","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","04/26/2010","01/01/2026","12/31/2026","   ","",
"807903","Child Care Center","Sacred Heart Children's House","308 Elm Ave W","","","Waseca","MN","56093-2427","Waseca","(507) 835-2780","Active","The Church of the Sacred Heart of Waseca, Minnesota","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/06/1994","01/01/2026","12/31/2026","   ","",
"1033718","Child Care Center","Sacred Heart Parish/School","4050 Hubbard Ave N","","","Robbinsdale","MN","55422-2283","Hennepin","(763) 537-1329","Active","The Church of Sacred Heart","36 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","03/14/2005","01/01/2026","12/31/2026","   ","",
"1000693","Child Care Center","Sacred Heart Preschool","200 3rd St NW","","","East Grand Forks","MN","56721-1806","Polk","","Active","Sacred Heart Church, East Grand Forks","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/01/1999","01/01/2026","12/31/2026","   ","",
"1058248","Child Care Center","Sacred Heart School Pre-K & Early Childhood Center","303 2nd St NE","","","Freeport","MN","56331-5001","Stearns","","Active","Church of the Sacred Heart, Minnesota","69 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","11/01/2010","01/01/2026","12/31/2026","   ","",
"1097989","Child Care Center","Saint Agnes Preschool","530 Lafond Ave","","","Saint Paul","MN","55103     ","Ramsey","(651) 925-8700","Active","The Church of St. Agnes of St. Paul, Minnesota","55 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/04/2019","01/01/2026","12/31/2026","   ","",
"1005525","Child Care Center","Saint Ambrose Early Childhood Education Center","4125 Woodbury Dr","","","Saint Paul","MN","55129-9627","Washington","(651) 768-3031","Active","The Church of Saint Ambrose of Woodbury","136","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/01/2000","01/01/2026","12/31/2026","   ","",
"1100182","Child Care Center","Saint Boniface Pre Kindergarten","501 Main St","","","Cold Spring","MN","56320     ","Stearns","(320) 685-3541","Active","The Church of St. Boniface Cold Spring, Minnesota","52 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","03/24/2020","01/01/2026","12/31/2026","   ","",
"802327","Child Care Center","Saint Francis of Assisi Preschool","318 11th Ave SE","","","Rochester","MN","55904-7221","Olmsted","(507) 288-4816","Active","Rochester Catholic Schools","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/21/1990","01/01/2026","12/31/2026","   ","",
"1104017","Child Care Center","Saint Rose of Lima Catholic School","2072 Hamline Ave N","","","Roseville","MN","55113     ","Ramsey","(651) 357-1228","Active","The Church of Saint Rose of Lima of Rosetown, Minnesota","39 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/10/2020","01/01/2026","12/31/2026","   ","",
"1109498","Child Care Center","Saints Peter & Paul Child Care","110 Central Ave N","","","Richmond","MN","56368     ","Stearns","(320) 206-0130","Active","Saints Peter & Paul Child Care","59 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/14/2022","01/01/2026","12/31/2026","   ","",
"2000190","Child Care Center","Salama Child Care Center, LLC","1619 Eastwood Rd SE","","","Rochester","MN","55904     ","Olmsted","(507) 319-1773","Active","Salama Child Care Center, LLC","32 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","07/18/2024","10/21/2025","12/31/2026","   ","",
"1103664","Child Care Center","Salamah Childcare Center","2526 Horizon Dr","","","Burnsville","MN","55337     ","Dakota","(612) 720-1683","Pending Reopening as of 07/01/2025","Learning Ladder Childcare Inc.","38 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/01/2021","01/01/2026","12/31/2026","   ","",
"2001676","Child Care Center","Salamah Childcare LLC","2526 Horizon Dr","","","Burnsville","MN","55337     ","Dakota","(952) 855-7787","Active","Salamah Childcare LLC","38 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","07/01/2025","11/17/2025","12/31/2026","   ","",
"1063677","Child Care Center","Salem Lutheran Church & School","14940 62nd St N","","","Stillwater","MN","55082-6623","Washington","(651) 439-7831","Active","Salem Lutheran Church & School","60 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","11/19/2012","01/01/2026","12/31/2026","   ","",
"1033567","Child Care Center","Salem Lutheran Church and Preschool","7825 Bailey Rd","","","Woodbury","MN","55129     ","Washington","(651) 458-9861","Active","Salem Lutheran Church and Preschool","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/01/2005","01/01/2026","12/31/2026","   ","",
"1108022","Child Care Center","Salem Lutheran School","9615 Pioneer Trl","","","Loretto","MN","55357-9694","Hennepin","","Active","Anchored in Christ Lutheran Ministries","40 ","Ages Served: Preschool","Not To Exceed 20 Preschool Aged Children","Services: Day Program","Minnesota Department of Human Services","08/30/2021","01/01/2026","12/31/2026","   ","",
"802183","Child Care Center","Salem Preschool","2655 5th St NW","","","New Brighton","MN","55112-2544","Ramsey","(651) 633-0158","Active","Salem Covenant Church of New Brighton, Minnesota","40 ","Ages Served: Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","10/21/1971","01/01/2026","12/31/2026","   ","",
"1077489","Child Care Center","Sam & Abes Child Care Learning & Development Center","622 Sunrise Dr","","","Saint Peter","MN","56082-5500","Nicollet","(507) 345-1451","Active","RS LLC","59 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","07/27/2015","06/23/2026","12/31/2026","   ","",
"1066817","Child Care Center","Sam & Abes Childcare Learning & Development Center","160 Saint Andrews Ct Ste 100","","","Mankato","MN","56001-8679","Blue Earth","(507) 345-1451","Active","RS LLC","65 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","03/10/2014","06/02/2026","12/31/2026","   ","",
"1065076","Child Care Center","Samuel Lutheran Early Childhood Center","500 Village Dr","","","Marshall","MN","56258-1538","Lyon","(507) 532-2162","Active","Christ Lutheran Church","22 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/19/2013","01/01/2026","12/31/2026","   ","",
"804632","Child Care Center","Scandia Preschool","20971 Olinda Trl N","","","Scandia","MN","55073     ","Washington","(651) 433-3195","Active","Elim Lutheran Church","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","04/01/1992","01/01/2026","12/31/2026","   ","",
"2002408","Child Care Center","School of St. Philip Preschool","225 E 3rd St","","","Litchfield","MN","55355     ","Meeker","(320) 693-6283","Active","The Church of St. Philip, of Litchfield Minnesota","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/08/2026","09/08/2026","12/31/2026","   ","",
"1050329","Child Care Center","School Readiness Learning Academy Inc","1221 7th Ave N","","","Minneapolis","MN","55411-3925","Hennepin","(612) 977-9104","Active","School-Readiness Learning Academy Inc","38 ","Ages Served: Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/01/2009","01/01/2026","12/31/2026","   ","",
"1088993","Child Care Center","School Readiness Learning Academy North","2503 Lowry Ave N","","","Minneapolis","MN","55411-1010","Hennepin","(612) 236-4435","Active","School-Readiness Learning Academy Inc","23 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/08/2018","01/01/2026","12/31/2026","   ","",
"802199","Child Care Center","Seed Early Learning Academy","1300 Olson Memorial Hwy","","","Minneapolis","MN","55411-3968","Hennepin","(612) 374-3178","Active","Seed Daycare","72 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/09/1990","01/01/2026","12/31/2026","   ","",
"800906","Child Care Center","Seeds of Grace Preschool and Childcare","13655 Round Lake Blvd NW","","","Andover","MN","55304-3659","Anoka","(763) 421-1996","Active","Grace Lutheran Church of Anoka, Minnesota","91 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/05/1972","01/01/2026","12/31/2026","   ","",
"1039729","Child Care Center","Seeds of Wisdom Early Development","400 13th Ave SE","","","Rochester","MN","55904-4925","Olmsted","(507) 258-5022","Active","Word of Life Church of God in Christ","16 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/2007","01/01/2026","12/31/2026","   ","",
"800141","Child Care Center","Semcac Head Start Austin","300 16th St NE","","","Austin","MN","55912-4596","Mower","(507) 703-0977","Active","Semcac","89 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","10/01/1984","01/01/2026","12/31/2026","   ","",
"801858","Child Care Center","Semcac Head Start Owatonna","565 20th St NE Ste A","","","Owatonna","MN","55060-1641","Steele","(507) 451-8180","Active","Semcac","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/08/1988","01/01/2026","12/31/2026","   ","",
"804356","Child Care Center","Semcac Head Start-Eagle Bluff","28097 Goodview Dr","","","Lanesboro","MN","55949-8290","Fillmore","(507) 703-0291","Active","Semcac","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","11/01/1991","01/01/2026","12/31/2026","   ","",
"830413","Child Care Center","Semcac Head Start-Kasson","202 5th St SE","","","Kasson","MN","55944     ","Dodge","","Active","Semcac","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","05/01/1997","09/08/2026","12/31/2026","   ","",
"830728","Child Care Center","Semcac Head Start-Winona","1756 Kraemer Dr Ste 200","","","Winona","MN","55987-2086","Winona","(507) 454-2151","Active","Semcac","44 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/26/1998","01/01/2026","12/31/2026","   ","",
"802406","Child Care Center","Semcac Head Start-Winona Redeemer","1664 Kraemer Dr","","","Winona","MN","55987     ","Winona","(507) 932-5519","Active","Semcac","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","04/12/1989","01/01/2026","12/31/2026","   ","",
"1115318","Child Care Center","Serenity Kids","1103 Oakview Dr","","","Dilworth","MN","56529     ","Clay","(218) 477-3700","Active","Serenity Kids, LLC","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","11/28/2022","01/01/2026","12/31/2026","   ","",
"802211","Child Care Center","Seward Child Care Center","2323 32nd Ave S","","","Minneapolis","MN","55406-1459","Hennepin","(612) 724-3030","Active","Seward Child Care Center, Inc.","30 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","06/13/1973","01/01/2026","12/31/2026","   ","",
"802217","Child Care Center","Shakopee Head Start","917 Dakota St S","","","Shakopee","MN","55379-2562","Scott","(952) 402-9809","Active","Scott-Carver-Dakota CAP Agency, Inc.","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","12/04/1970","01/01/2026","12/31/2026","   ","",
"830336","Child Care Center","Shepherd of the Hills Preschool","3920 Victoria St N","","","Saint Paul","MN","55126-2908","Ramsey","(651) 483-6885","Active","Shepherd of the Hills Evangelical Lutheran Church","82 ","Ages Served: Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","08/15/1997","01/01/2026","12/31/2026","   ","",
"808005","Child Care Center","Shepherd of the Valley Preschool","12650 Johnny Cake Ridge Rd","","","Saint Paul","MN","55124     ","Dakota","(952) 985-7370","Active","Shepherd of the Valley Lutheran Church","50 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/12/1994","01/01/2026","12/31/2026","   ","",
"802223","Child Care Center","Shepherd's Care","11875 W Eagle Lake Dr","","","Maple Grove","MN","55369-5529","Hennepin","","Active","Shepherd of the Grove Evangelical Lutheran Church","96 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school-age in the Preschoolers Room 6 classroom is five.","Services: Day Program","Minnesota Department of Human Services","09/01/1989","01/01/2026","12/31/2026","   ","",
"830391","Child Care Center","Shepherd's Flock Preschool","3611 North Berens Rd NW","","","Prior Lake","MN","55379-5899","Scott","(952) 230-2923","Active","Shepherd of the Lake Evangelical Lutheran Church","76 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/24/1997","05/20/2026","12/31/2026","   ","",
"1052276","Child Care Center","Shiloh Temple International Ministries","1201 W Broadway Ave","","","Minneapolis","MN","55411     ","Hennepin","(612) 302-1463","Active","Shiloh Temple International Ministries, Inc.","148","Ages Served: ","None","Services: Day Program","Minnesota Department of Human Services","02/02/2009","01/01/2026","12/31/2026","   ","",
"2001555","Child Care Center","Shining Stars Learning Center","955 Highway 55","","","Hastings","MN","55033     ","Dakota","","Active","Rivertown Learning Center LLC","102","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","01/01/2025","01/01/2026","12/31/2026","   ","",
"802232","Child Care Center","Shirley R Abelson Aleph Preschool","5225 Barry St W","","","Saint Louis Park","MN","55416-5445","Hennepin","(952) 873-7320","Active","Beth El Synagogue","121","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/01/1946","01/01/2026","12/31/2026","   ","",
"802233","Child Care Center","Shoreline Early Childhood Development Center","3745 Shoreline Dr","","","Wayzata","MN","55391-9784","Hennepin","(952) 471-8541","Active","Shoreline Early Childhood Development Center, Inc.","81 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/02/1972","01/01/2026","12/31/2026","   ","",
"1062792","Child Care Center","Shoreview YMCA Early Childhood Learning Center","3760 Lexington Ave N","","","Saint Paul","MN","55126-2915","Ramsey","(651) 747-0971","Active","Young Men's Christian Association of the North","27 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","04/01/2012","01/01/2026","12/31/2026","   ","",
"830682","Child Care Center","Siembra Montessori","1915 Chicago Ave","","","Minneapolis","MN","55404-1904","Hennepin","(612) 874-1412","Active","Centro Tyrone Guzman","70 ","Ages Served: Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","05/12/1998","01/01/2026","12/31/2026","   ","",
"801598","Child Care Center","Silver View Education Center","2574 Mounds View Blvd","","","Mounds View","MN","55112-4032","Ramsey","(651) 621-6222","Active","Mounds View Public School District 0621-01","47 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/28/1989","01/01/2026","12/31/2026","   ","",
"1082529","Child Care Center","Skyline Towers Head Start","1247 Saint Anthony Ave","","","Saint Paul","MN","55104-4126","Ramsey","(651) 226-7410","Active","Community Action Partnership of Ramsey and Washington Counties","20 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/06/2016","01/01/2026","12/31/2026","   ","",
"1062906","Child Care Center","Sleepy Tigers Chinese Immersion Learning Center","16023 Minnetonka Blvd","","","Minnetonka","MN","55345-1302","Hennepin","(612) 568-8819","Active","Sleepy Tigers Chinese Immersion Learning Center Inc","131","Ages Served: Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","08/13/2012","01/01/2026","12/31/2026","   ","",
"1077077","Child Care Center","Small Sprouts Preschool","1125 S State St","","","Fairmont","MN","56031-4415","Martin","(507) 235-5513","Active","Bethel Evangelical Free Church","40 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/08/2015","01/07/2026","12/31/2026","   ","",
"802053","Child Care Center","Small World Early Learning Center","309 Main Ave N","","","Red Lake Falls","MN","56750-4013","Red Lake","(218) 253-4496","Active","Red Lake Falls Children's Center, Inc.","39 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of school aged children in the Preschool / School Age Combo Classroom is 5.","Services: Day Program","Minnesota Department of Human Services","09/01/1976","01/01/2026","12/31/2026","   ","",
"1076380","Child Care Center","Small World Learning Center","8400 City Centre Dr","","","Woodbury","MN","55125     ","Washington","(651) 739-1961","Active","Jain Enterprises III, Inc","118","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of preschoolers in the Kindergarten Readiness/School Age Combination is 20.","Services: Day Program","Minnesota Department of Human Services","02/25/2015","01/01/2026","12/31/2026","   ","",
"1065534","Child Care Center","Small World Learning Center","1621 McGlynn Rd","","","Chanhassen","MN","55317-8202","Carver","(952) 470-6000","Active","Jain Enterprises II Inc.","106","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","05/06/2013","01/01/2026","12/31/2026","   ","",
"1074720","Child Care Center","Small World Learning Center","90 Locust St","","","Farmington","MN","55024     ","Dakota","(651) 463-2022","Active","Millennium Learning Center III Inc.","97 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of infants in the Transition Room is 10 children. Maximum number of toddlers in the Transition Room is 12 children.","Services: Day Program","Minnesota Department of Human Services","07/07/2014","01/01/2026","12/31/2026","   ","",
"1081623","Child Care Center","Small World Learning Center","4565 Scott Trl","","","Eagan","MN","55122-2396","Dakota","(651) 405-0004","Active","Millennium Learning Center IV, Inc. Corporation","84 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","11/18/2016","01/01/2026","12/31/2026","   ","",
"1117993","Child Care Center","Small World Learning Center","301 Promenade Ave","","","Wayzata","MN","55391-2662","Hennepin","(763) 245-7078","Active","Millennium Learning Center V, Inc. Corporation","117","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","06/12/2023","01/01/2026","12/31/2026","   ","",
"1026207","Child Care Center","Small World Learning Center/Jain Enterprises Inc","10210 Lancaster Ln N","","","Maple Grove","MN","55369-2982","Hennepin","(763) 424-5574","Active","Jain Enterprises, Inc.","78 ","Ages Served: Infant;Toddler;Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/15/2004","01/01/2026","12/31/2026","   ","",
"1066084","Child Care Center","Smart Start Childcare & Learning Center","14480 60th St N","","","Stillwater","MN","55082-6313","Washington","(651) 439-0699","Active","Smart Start Childcare and Learning Center Inc","141","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","10/02/2013","01/01/2026","12/31/2026","   ","",
"2000106","Child Care Center","Smart Start Childcare and Learning Center Woodbury","6255 Upper Afton Rd","","","Woodbury","MN","55125     ","Washington","(651) 280-0188","Active","Smart Start Childcare and Learning Center","87 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program, School-age Child Care Program","Minnesota Department of Human Services","09/30/2024","01/01/2026","12/31/2026","   ","",
"1106415","Child Care Center","Smiling Faces Academy","7217 W Broadway Ave","","","Brooklyn Park","MN","55428-1623","Hennepin","(763) 432-2082","Active","Smiling Faces Academy, LLC","58 ","Ages Served: Infants Toddlers Preschool School-Age","Maximum number of infants in the Infant/Toddler classroom is eight.; Not to exceed eight infants in the Infant/Toddler classroom.","Services: Day Program","Minnesota Department of Human Services","11/17/2020","01/01/2026","12/31/2026","   ","",
"1117813","Child Care Center","Snug as a Bug Childcare, LLC","826 E Bridge St","","","Redwood Falls","MN","56283     ","Redwood","(507) 627-7684","Active","Snug as a Bug Childcare, LLC","79 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/06/2023","01/01/2026","12/31/2026","   ","",
"2002409","Child Care Center","Soaring Eagles Childcare","68 10th St","","","Windom","MN","56101-1561","Cottonwood","(507) 831-6910","Active","Independent School District #177","73 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","09/01/2026","09/01/2026","12/31/2026","   ","",
"1064021","Child Care Center","Solar Academy Inc","1274 Marion Rd SE","","","Rochester","MN","55904     ","Olmsted","(507) 258-7777","Active","Solar Academy Inc","92 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/02/2013","01/01/2026","12/31/2026","   ","",
"802263","Child Care Center","Son-Shine Corner Inc.","705 County Road 101 N","","","Plymouth","MN","55447-3537","Hennepin","(763) 473-9656","Active","Son-Shine Corner Inc.","54 ","Ages Served: Toddlers Preschool School-Age","The maximum number of school age children in the Preschool/School Age classroom is one.","Services: Day Program","Minnesota Department of Human Services","09/01/1982","01/01/2026","12/31/2026","   ","",
"2001990","Child Care Center","Sonnet Montessori & Child Care","15855 61st Ave N","","","Plymouth","MN","55446-3741","Hennepin","(612) 927-3232","Active","JK Child Care LLC","147","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","03/16/2026","03/16/2026","12/31/2026","   ","",
"1110511","Child Care Center","Sonnet Montessori & Child Care","19955 Idealic Ave","","","Lakeville","MN","55044-2003","Dakota","","Active","JK Child Care LLC","91 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/01/2022","01/01/2026","12/31/2026","   ","",
"1110515","Child Care Center","Sonnet Montessori & Child Care","4637 Park Nicollet Ave SE","","","Prior Lake","MN","55372-3909","Scott","","Active","JK Child Care LLC","76 ","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","01/01/2022","01/01/2026","12/31/2026","   ","",
"1021758","Child Care Center","Sonshine Learning Center","680 Highway 62","","","Saint Paul","MN","55118     ","Dakota","(651) 994-1945","Active","Sonshine Learning Center","104","Ages Served: Infants Toddlers Preschool School-Age","Per the State Fire Marshal, the occupant load of Infant 2 cannot exceed 10 people due to having one exit door.; Per State Fire Marshal, Toddler/Preschool cannot exceed 10 children under 2.5 years of age.; Per the State Fire Marshal, Toddler 2 cannot excee","Services: Day Program","Minnesota Department of Human Services","03/26/2003","01/01/2026","12/31/2026","   ","",
"1066378","Child Care Center","SonShine Learning Center Luther","1568 Eustis St","","","Lauderdale","MN","55108     ","Ramsey","(651) 756-1530","Active","Sonshine Learning Center","108","Ages Served: Infants Toddlers Preschool School-Age","None","Services: Day Program","Minnesota Department of Human Services","09/05/2013","01/01/2026","12/31/2026","   ","",
"804605","Child Care Center","South Branch Early Childhood Family Development Center","7145 Harriet Ave","","","Richfield","MN","55423-3071","Hennepin","(612) 861-7422","Active","Parents in Community Action, Inc.","48 ","Ages Served: Infants Toddlers Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/1999","01/01/2026","12/31/2026","   ","",
"1116650","Child Care Center","South Metro Childcare Academy","8932 Old Cedar Ave S","","","Minneapolis","MN","55425     ","Hennepin","(612) 707-6260","Active","South Metro Childcare Academy LLC","57 ","Ages Served: Infant;Toddler;Preschool;School Age","None","Services: Day Program","Minnesota Department of Human Services","03/16/2023","01/01/2026","12/31/2026","   ","",
"1078834","Child Care Center","South Metro Montessori School","10970 185th St W","","","Lakeville","MN","55044-5227","Dakota","(952) 435-8899","Active","South Metro Montessori School LLC","50 ","Ages Served: Toddlers Preschool School-Age","Maximum number of school aged children in the Butterfly Room 127 is 5.; Per fire inspector, no more than 5 children under the age of 30 months can be in care.","Services: Day Program","Minnesota Department of Human Services","01/04/2016","01/01/2026","12/31/2026","   ","",
"804965","Child Care Center","South Shore Trinity Lutheran Church Preschool","2480 S Shore Blvd","","","White Bear Lake","MN","55110-3898","Ramsey","(651) 429-4293","Active","South Shore Trinity Evangelical Lutheran Church, White Bear Lake, Minn","22 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","01/01/1999","01/01/2026","12/31/2026","   ","",
"1009453","Child Care Center","Southside A, B, C","1205 6th Ave S","","","Saint Cloud","MN","56301-5582","Stearns","(320) 257-5257","Active","Reach-Up Incorporated","60 ","Ages Served: Preschool","None","Services: Day Program","Minnesota Department of Human Services","02/06/2001","01/01/2026","12/31/2026","   ","",
